0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_5,Column_7,column_17
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,3,3,7,3,4,22,2,2,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,3,7,3,13,22,2,2,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,7,3,3,22,2,7,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,5,7,3,9,19,2,7,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,5,7,3,14,22,2,7,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3,7,3,4,22,2,7,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,7,3,13,19,2,7,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,7,7,7,3,3,19,2,7,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3,3,7,3,9,19,2,7,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,2,8,1,3,5,19,2,3,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1,8,7,3,3,19,2,5,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3,5,7,3,4,19,2,7,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,3,3,7,3,14,22,2,7,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7,2,8,3,10,22,2,3,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,1,7,7,3,3,19,4,7,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7,9,7,3,4,19,2,7,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,9,2,7,1,5,22,3,7,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,9,7,3,3,22,2,7,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3,3,3,3,10,22,3,2,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,7,3,5,22,4,7,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1,2,7,3,4,19,2,5,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,2,6,7,3,7,22,2,5,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2,2,7,3,9,22,2,5,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,9,7,3,4,19,4,7,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,3,13,22,2,5,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,7,7,3,9,19,4,7,2
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,column_17
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,1,3,1,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,2,6,2,1,2,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3,3,3,3,3,22,2,2,3,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,4,3,3,1,4,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,7,3,5,6,2,1,5,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,6,3,1,1,6,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,2,2,3,7,22,2,1,3,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,6,3,3,3,8,22,2,2,3,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,7,3,9,22,2,2,3,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,2,2,7,3,10,19,2,1,7,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,1,7,3,11,22,3,1,2,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,5,4,1,3,12,19,2,1,3,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,3,3,13,22,2,3,3,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,7,3,3,19,4,2,7,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,6,7,3,13,19,4,4,7,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,7,3,5,19,4,5,7,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,6,1,3,9,19,2,5,3,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,2,3,2,6,2,3,4,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3,3,7,3,8,22,1,1,3,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,3,3,4,3,5,6,1,2,2,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,8,1,3,14,19,2,3,3,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,7,4,1,3,15,19,2,3,3,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,8,2,2,1,4,3,3,1,5,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,7,10,1,3,9,22,2,3,4,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,1,9,7,2,10,19,4,6,7,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7,9,7,3,3,19,2,7,7,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,7,9,7,3,3,19,2,7,7,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,7,9,7,3,7,19,2,7,7,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8,7,3,6,22,2,7,3,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,4,2,2,3,16,6,3,1,5,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1,2,7,3,10,19,4,1,7,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,9,7,2,5,19,4,1,7,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,2,2,2,3,4,22,2,3,5,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,8,2,5,3,9,6,5,2,5,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3,6,1,3,3,22,2,1,3,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,3,3,3,3,10,22,2,1,3,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,2,4,7,3,5,19,2,3,3,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,7,3,11,19,2,1,5,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,7,3,3,22,2,1,2,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,3,3,3,3,17,22,2,3,3,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5,10,7,3,18,19,4,3,7,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,5,7,7,2,12,19,4,3,7,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,1,8,7,3,13,19,3,3,3,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,5,9,7,3,9,19,4,3,7,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,2,8,1,3,4,19,2,3,2,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,1,7,3,5,22,3,3,5,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,4,1,6,3,13,6,3,3,5,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,6,7,3,10,22,4,4,7,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1,7,3,4,22,2,2,5,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,7,1,7,3,5,19,2,1,5,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,9,7,3,11,19,2,1,7,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2,1,5,3,13,22,2,3,5,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,9,7,3,3,19,4,3,7,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,9,7,3,4,19,2,3,7,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,3,5,7,3,7,22,4,3,7,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,6,7,3,6,22,2,3,7,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,9,2,2,3,9,22,3,3,5,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,4,2,7,3,14,6,2,3,5,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,8,1,3,12,19,2,4,3,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,10,3,1,3,5,22,2,2,2,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2,8,1,3,3,22,2,1,3,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,7,3,10,22,2,1,3,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,6,3,3,3,4,19,2,3,7,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,9,1,7,3,18,22,2,6,7,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,7,3,7,3,5,22,2,7,7,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,7,3,19,19,2,7,5,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,2,2,2,3,4,22,2,2,5,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,3,4,3,11,22,3,1,2,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,7,3,20,22,2,3,5,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,7,3,4,19,4,1,7,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,6,7,3,2,22,2,1,5,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,11,2,2,3,9,22,2,3,4,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,2,2,2,3,10,22,2,8,5,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,9,9,7,3,4,19,2,4,7,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,5,7,3,5,19,2,5,7,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,3,3,7,3,4,22,2,2,2,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,3,7,3,13,22,2,3,2,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,3,7,3,3,22,2,6,7,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,5,7,3,9,19,2,7,7,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,5,7,3,14,22,2,7,7,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3,7,3,4,22,2,2,7,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,7,3,13,19,2,1,7,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,7,7,7,3,3,19,2,3,7,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3,3,7,3,9,19,2,1,7,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,2,8,1,3,5,19,2,8,3,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1,8,7,3,3,19,2,1,5,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3,5,7,3,4,19,2,8,7,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,3,3,7,3,14,22,2,1,7,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7,2,8,3,10,22,2,8,3,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,1,7,7,3,3,19,4,1,7,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7,9,7,3,4,19,2,8,7,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,9,2,7,1,5,22,3,1,7,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,9,7,3,3,22,2,8,7,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3,3,3,3,10,22,3,3,2,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,7,3,5,22,4,1,7,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1,2,7,3,4,19,2,8,5,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,2,6,7,3,7,22,2,1,5,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2,2,7,3,9,22,2,8,5,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,9,7,3,4,19,4,3,7,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,3,13,22,2,8,5,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,7,7,3,9,19,4,1,7,2
